# Satellite parameters in the following order from left to right:
# Satellite ID, components of initial position (X, Y, Z) in meters, components of initial velocity (U, V, W) in meters per second
0125,-1.19367278372546e+06, 5.35268879066097e+06,-4.13500381804934e+06,-1.64787114439681e+03,-4.76696553351725e+03,-5.70839309284390e+03
0126,-8.63850031183004e+04, 4.76105326235533e+06,-4.95005295896517e+06,-7.61662193032287e+03,-6.07522461398568e+01, 6.31639301635570e+01
0127,-2.57443959568113e+05, 4.22223782050340e+06,-5.41470278301836e+06, 7.60868574689877e+03, 1.80497357979976e+02,-2.31474300626955e+02
0128,-8.12776032361769e+05, 3.05101039348036e+06,-6.10202078696071e+06, 7.56057189276582e+03, 4.06604835476621e+02,-8.13209670953241e+02
0129,-4.34783180293226e+04, 2.47124954722907e+06,-6.40918538453433e+06,-7.61633536262596e+03,-1.43359272607806e+01, 3.71802255164872e+01
0130,-2.22802350618051e+04, 1.24365337131985e+06,-6.75607097770782e+06,-7.61601525788024e+03,-2.94747468621276e+00, 1.60119762019888e+01
0131,-1.61333537139150e+05, 6.22591511441676e+05,-6.83994086094476e+06, 7.61318305363128e+03, 1.69760429281771e+01,-1.86502911696804e+02
0132, 1.51245670685528e+05, 6.22627465326777e+05, 6.84033585901862e+06,-7.61344945260548e+03, 1.51978899498972e+01, 1.66967693195374e+02
0133, 4.39165274299091e+02, 1.24365718543264e+06, 6.75609169764261e+06, 7.61604560455054e+03,-8.38674386508567e-02,-4.55604737875005e-01
0134, 4.57156673654421e+05, 1.85697392940454e+06, 6.59931921917907e+06,-7.59779974703811e+03, 1.37263203528514e+02, 4.87806362161626e+02
0135, 7.27643379713945e+01, 3.07278413124051e+06, 6.14556826248101e+06, 7.61454799405344e+03, 3.67808293079403e+00, 7.35616586158910e+00
0136, 9.03541983864205e+05, 3.62602351054566e+06, 5.76287159858041e+06,-7.55010433719741e+03, 5.37910549814902e+02, 8.54906048206682e+02
0137, 1.37830991214686e+03, 4.22528811996698e+06, 5.41861456290775e+06, 7.61419182947395e+03, 4.10009722543418e+00, 5.25806664642777e+00
0138, 1.27271917661173e+06, 5.10775421440640e+06, 4.40882855531749e+06,-1.57149130991542e+03, 5.09456290821779e+03,-5.44380558485294e+03
0139, 1.38237157971859e+06, 5.54556645249867e+06, 3.80534249939570e+06,-2.10052495698859e+03, 4.49609201748420e+03,-5.78224914859519e+03
0140, 1.52123897558886e+06, 6.10959629680649e+06, 2.73945945192744e+06,-3.29038003819703e+03, 3.48193053398956e+03,-5.92534298733897e+03
0141, 1.48823286327237e+06, 6.14400130628968e+06, 2.68002177789479e+06,-3.30892127600113e+03, 3.40654047246021e+03,-5.95873219834918e+03
0142, 7.41798948892982e+05, 6.32386395799471e+06,-2.56966693696766e+06,-1.94595288279752e+03, 2.97223091872161e+03, 6.74097852428085e+03
0143, 9.89867213032503e+05, 5.86574965072049e+06,-3.42900061143779e+06,-1.80487088603369e+03, 3.96398460131450e+03, 6.25225615142441e+03
0144, 1.19218814731439e+06, 5.35433836697195e+06,-4.12986088665986e+06,-1.64740653913455e+03, 4.77270908266416e+03, 5.70678365300448e+03
0145, 1.27271917661173e+06, 5.10775421440640e+06,-4.40882855531749e+06,-1.57149130991542e+03, 5.09456290821779e+03, 5.44380558485294e+03
0146, 1.16479028848528e+06, 4.69202798663842e+06,-4.87828758448229e+06,-7.50613210667515e+03, 9.00942549660980e+02,-9.36707297326200e+02
0147, 1.37830991214686e+03, 4.22528811996698e+06,-5.41861456290775e+06, 7.61419182947395e+03, 4.10009722543418e+00,-5.25806664642777e+00
0148, 7.27643379713945e+01, 3.07278413124051e+06,-6.14556826248101e+06, 7.61454799405344e+03, 3.67808293079403e+00,-7.35616586158910e+00
0149, 6.10729746397267e+05, 2.46138527447993e+06,-6.38360239442158e+06,-7.58592386773977e+03, 2.46602351595248e+02,-6.39563167308736e+02
0150, 3.05109184360900e+05, 1.24240004182024e+06,-6.74926234175423e+06,-7.60833864304766e+03, 6.27594754869594e+01,-3.40937017252308e+02
0151, 6.19007556267673e+03, 6.22771407781519e+05,-6.84191724562559e+06, 7.61538305691547e+03, 1.42593300979486e-01,-1.56656447757229e+00
0152, 3.41501840749583e+05, 6.22018079344199e+05, 6.83364099729031e+06,-7.60576437159742e+03, 3.43143369273548e+01, 3.76985601236586e+02
0153, 3.35411821843486e+05, 1.24214052808877e+06, 6.74785254925905e+06, 7.60716803662160e+03,-6.73146698202629e+01,-3.65682832238071e+02
0154, 1.01724800322164e+06, 1.84067027852423e+06, 6.54137925842168e+06,-7.53041075981789e+03, 3.05396144576452e+02, 1.08531768510764e+03
0155, 8.20481464931778e+05, 3.05099251424692e+06, 6.10198502849384e+06, 7.56056641435974e+03,-4.02971107950321e+02,-8.05942215900640e+02
0156, 1.99523349878568e+06, 3.60598766228549e+06, 5.49240662969413e+06,-1.36553599928706e+03, 6.48533862744559e+03,-3.75899812234249e+03
0157, 2.26508371884100e+06, 4.08693367241125e+06, 5.03126065056131e+06,-1.86084483687474e+03, 6.12464020076232e+03,-4.13335512797676e+03
0158, 2.50698694708752e+06, 4.52533202560214e+06, 4.51460237231899e+06,-2.43673558254215e+03, 5.73305935248734e+03,-4.38809314681081e+03
0159, 2.72108911437651e+06, 4.90982822018156e+06, 3.95397392817397e+06,-3.08728786893733e+03, 5.32967042867557e+03,-4.48609186595601e+03
0160, 3.05204740028307e+06, 5.51775631921902e+06, 2.71771810305473e+06,-4.57052901545898e+03, 4.53936447931754e+03,-4.06986124943465e+03
0161, 3.01074427432006e+06, 5.55830432410238e+06, 2.68093943011145e+06,-4.60413420342008e+03, 4.47804284223944e+03,-4.09978523674558e+03
0162, 1.76677739300853e+06, 6.11838625470423e+06,-2.56727782707828e+06,-3.84770700156123e+03, 3.46325649731799e+03, 5.59104554387643e+03
0163, 1.54297536191753e+06, 5.74609098358785e+06,-3.42729549403743e+06,-2.61679227059199e+03, 4.17482067220787e+03, 5.81248448885554e+03
0164, 1.49930700491044e+06, 5.27856940937039e+06,-4.12723810958905e+06,-1.99933087797723e+03, 4.87576178206342e+03, 5.50368574697525e+03
0165, 1.40050998532099e+06, 4.65293127455015e+06,-4.85150890216699e+06,-1.43147827202606e+03, 5.60522194718762e+03, 4.95878619416006e+03
0166, 1.56191497010808e+06, 3.92897741897383e+06,-5.41063217065921e+06,-1.20864503740982e+03, 6.25002035105598e+03, 4.18686922621958e+03
0167, 1.70240618523229e+06, 3.07881705758307e+06,-5.89730801588368e+06,-9.47008132371664e+02, 6.81099188034798e+03, 3.28053240089727e+03
0168, 8.20481464931778e+05, 3.05099251424692e+06,-6.10198502849384e+06, 7.56056641435974e+03,-4.02971107950321e+02, 8.05942215900640e+02
